file	bytes	sha256
additionallanterns-1.1.2-neoforge-mc1.21.jar	3041170	5cf36e4a49385c59f29d2b6a003438c8d761ae4d65544d85617e5a8f4d9c1ea0
AdvancedBackups-neoforge-1.21-3.7.1.jar	335656	50a3699f05952035bbbd2b5f3e9e11fcc43bfc9d5fee8c104b4ed7b32ef496be
AdvancementPlaques-1.21.1-neoforge-1.6.8.jar	195730	a24674330b8de59a02e0ebe4dd81fcff15d90e8c1cdcc32980d73c1cab050933
alexsmobs-1.22.17.jar	26620546	6e502855f79e4c9f2a11d560a9b88a3ab295aa378c44b0f0a0dd95f95d0301a6
AmbientSounds_NEOFORGE_v6.3.8_mc1.21.1.jar	84811632	07ee6fd24d8427ee079e2e376095b0ac92450b0153331f1575f8195e2c9cf90b
ancientreforging-1.8.5.jar	297552	73d0417b4833b24b01c420f431dca3bfc769e90c271197ba9f7a0955e39beea0
animated-apricorn-doors-compat-1.7.jar	77962	1443a4774ec96675b0d9e5327c151ceac99bf6133c840c2c8c00937cae54611e
Apotheosis-1.21.1-8.7.0.jar	7142458	7309165a2096f441a5b042836616b98ec260e2d8631e85774279dbad3b1982b7
ApothicAttributes-1.21.1-2.10.1.jar	323265	7f84ee803e9d4fef2858db28f552724dc0ea6c3943db111cc947d70aa2c9c159
ApothicEnchanting-1.21.1-1.6.0.jar	5420322	1003b0358282cd8bbb509273821371b92aa3671910de8eccb2fbe8064efb7180
ApothicSpawners-1.21.1-1.4.0.jar	129784	f0cbc52ad606997789c36fac94ae651ab7e2e21c841e26a952c64041cad9cdbe
appleskin-neoforge-mc1.21-3.0.9.jar	75804	38b48dd6231341c9f964ce6e42c57ec866c6cc8f72bec938390a59bafb3922df
architectury-13.0.11-neoforge.jar	584734	9cc92f2c09533fc5482c60f993bd891c655a0e32b637037cdcb7c2b23adedeeb
athena-neoforge-1.21.1-4.0.6.jar	99944	43699885bbce3343916d4c5c4940cf0e3f9f6f02fdeb46e8655e121b42282ec5
automodpack-mc1.21.1-neoforge-4.0.6.jar	15397914	e76570a113ac9cd7fecc85fc6d2323ef2e04318e4b7615d34519843adfe838f5
azurelib-neo-1.21.1-3.1.11.jar	877948	54c3a272716344e214d00ba4c338ce153ef997fe4e70aec3d80ef92037dbd1b1
baguettelib-1.21.1-NeoForge-2.0.3.jar	74380	98addfb68b1e92d4f40ef37cdea8f46217bf7188991cc7347a3fc510a410f1e5
balm-neoforge-1.21.1-21.0.65.jar	783793	490fa5fcb7ca83a9b5a84e33c2832298db99d189131001b9277a1de7fdc0bf91
bandagez-1.21.1-neoforge-0.2.5.jar	267220	b840d78ef5e3f0a61b66846638a4303ad60f7581eebd062ff888eff53f5e1a72
bellsandwhistles-0.4.7-1.21.1.jar	193619	a438cf2ea3a05120e12342484f1e12ca11526fbf4195d259ce1d7df8a9b3ffca
better-compatability-checker-neoforge-21.1.8.jar	25085	1ed1373aa54a486f19a0c68c7446fe39c227628e7f5048bff97917189307e7e8
BetterF3-11.0.3-NeoForge-1.21.1.jar	481646	1a97b6ca5c81b3b18d653f403929908e3b48bb1bdb6e8bd8559f89cf0294dc26
BetterThirdPerson-neoforge-1.9.0.jar	60941	2e74076c67a78f16d696ec9ad1e3138d6ed1418544b297dbe3f4ad9cd791d059
blur-neoforge-6.3.1+1.21.1.jar	211164	292f8a8f7bd29589634b574a9e61f9a08f4ed9417d39f32f5b55b2ac6c22156b
bookshelf-neoforge-1.21.1-21.1.81.jar	328813	19e88d40da2b6a114c2b808f7fb469d96e66a5379df0a8a43fcb7834498b3e76
bottleyourxp-1.21.1-3.5.jar	39410	e1d07221267aa93695fab3fd30f87a63cf304bdabc729ebfd859fc10f0c8be26
burnt_basic-1.10.4.2-neoforge-1.21.1.jar	21291015	802716263d753ed6dad244b3ce9ec241ef19a1cdac57c0bbe4736c79b075e7b9
c2me-neoforge-mc1.21.1-0.4.0-alpha.0.120.jar	3708380	67fe384ae84f947e999a02ebde5f5e7de3a632803304a625beee9c4268509a76
caelus-neoforge-7.0.1+1.21.1.jar	50235	432a645557f29de159d9edde2fd109f8e3b32ff30895b4fede04ee5f1a1a682f
Camerapture-1.10.12+mc1.21.1-neoforge.jar	1977667	053e003d136876bbde786a701e504495a47e48cf3cd176d2ab29120ce99d92d2
cardinal-components-api-6.1.3.jar	229645	302a8a4bc2e34cbffaf61af75ab5de47c06bfa159436665870ae61092b0f69a2
carryon-neoforge-1.21.1-2.2.6.13.jar	361486	d4f9576b6593db9486a89d35c1d84c31ee89141d99dbae2aa470350ab53c4e09
cbc_at_Neoforge_1.21.1_0.1.4c.jar	1438535	88fb40b3353308c90d68f4512b78b63fd7278d05915d9d8628cecab9508ee58f
chatanimation-neoforge-1.3.1+mc1.21.jar	1031865	fb5ae4bf5588af538f1e268c9f5b927c3c5efbefea3b4c86d74952c30c77804b
chat_heads-0.15.7-neoforge-1.21.jar	91948	02e10437ceeed34e14e0efe206204658e4b8aa8ee7df10f2a9e28ac20f1b0391
Chunky-NeoForge-1.4.23.jar	340572	d72f235cf1f56f2c374f52c00bdda5034524b28142305a84cfc123a3f92ad274
citadel-1.21.1-2.7.6.jar	3028943	9e12468c49e5a95b7adbf22b3b4d05bc55565989b89c40b985cd73bdfe63c3c2
Clavis-NEOFORGE-0.2.13+1.21.1.jar	322447	e939109015d5aaae6a50346f33fdd554baf50564f275aae67053a7f3d9504650
cloth-config-15.0.140-neoforge.jar	1163890	65e722e0d98431a07c45f8bdd8d529a217cc8c175fde1740248bd5c1b4f3c0d4
cluttered-[NeoForge]-3.0.3-1.21.1.jar	5404861	c1649584e178ce04b2ca923f4afcd5640f67cea7a122dc166f9a773db8683e8f
cobweb-neoforge-1.21-1.4.0.jar	410948	40c151dcee6a08decdd980a7c7ffed6ada292e77c3d2cd7aea2d01e5fa8d3b1c
collective-1.21.1-8.39.jar	1061931	ae59b63790c3097fb01e7801c21f3e7feed13b151c2ad993895196c74381a8fe
comforts-neoforge-9.0.5+1.21.1.jar	422658	6b0fd35a1349107e08a45539adbde9683bb203febc43a3305f6fc4ac73e59615
common-networking-neoforge-1.0.21-1.21.1.jar	26017	289bce2316fa0584bd0867322751da8bcbc9ac3ab991a2deea4fa140a13e4f3e
connectiblechains-neoforge-1.21.1-2.3.1.jar	227884	eb887559f581e0f8d871d00d8fdcce7218e954da7b2a2a26302a7af8d500c911
connector-2.0.0-beta.17+1.21.1-full.jar	4573244	ca70b57df3a7a4e8d211fea7ff3ae77e768482af374f26bf953ff5fd755564f0
Controlling-neoforge-1.21.1-19.0.5.jar	77555	cc525fb6b030d9e4d33176983f278919e17b33935e2ca568929bdfa98f2b44a0
coolrain-1.21.1-NeoForge-1.0.1.jar	4148178	16601370ae4ff30af749b69d6da2f11079a4c187aba1775568a13f8c03932d3a
copycats-3.0.4+mc.1.21.1-neoforge.jar	1791747	8480e2a62eaa625f75776831c1d8a9ef3d77d2d816fa2e67566c6ec25ba745d1
Corgilib-NeoForge-1.21.1-5.0.0.9.jar	309763	5e058a4fcb29a538821351081fcf10172fc707767756774afed1bf0e1953c7e3
coroutil-neoforge-1.21.0-1.3.8.jar	63981	9b32bcf2c793d33b93b5d4739c0dc4b64231025c7dc5fe40732b66d7cf4b2826
corpsecurioscompat-1.21.1-NeoForge-4.0.1.jar	23659	4fc4702868b51cbb94717f2c209373f2823fb1383a45c77ffdbeb6df96440d51
corpse-neoforge-1.21.1-1.1.13.jar	253694	80d984f0a17d968220129cc58edd5c9f28a5f61a84ec67dcc41228a46dfa4bb1
craftingtweaks-neoforge-1.21.1-21.1.10.jar	256064	f1667357c0b8d12486ea27c9fa3a8c9b77df5555bb891517b836bab77a930b28
create-1.21.1-6.0.10.jar	19123767	ef87fe5709f1ba1f5b8bb20a2925b5afb4669e178fd6d8bf10c167759eefe37a
createaddition-1.7.0.jar	1705668	c2fb25df2a47eb784997bccfea269aba01cff2399a0301c7483cd922e41c8929
create-aeronautics-bundled-1.21.1-1.3.1.jar	33121810	b531dbe1081ee354f6e47ba4e0443b9caa648dfb8c82013a591a20836245bd84
createbigcannons-5.11.7+mc.1.21.1.jar	3771506	ea017ab94637032d039899d88404838d173fa0e6286657cae6a6c3af459e87ca
create-central-kitchen-2.6.0.jar	488390	36df9749ca8a994c3b52284554307b47b990a18e43de347527726167614994cb
create_connected-1.3.2-mc1.21.1.jar	6779410	90bdceac63cb0ebd5e51351e22136182b996512edef937d0635d2857b0a3f24b
createdieselgenerators-1.21.1-1.3.15.jar	3154746	56ef1d574278fc311f1ffa223dbd613077b899354a18d01ae8dca2578a4e2990
CreateDragonsPlus-1.11.7b.jar	1038830	bdad8fae41888d161b7ef59ded32d5efcf3f80dd9f19fddaad38c24b139e6ee7
Create Encased-1.21.1-1.9.0-ht3.jar	3110804	e93bb110241ab8283c6238590eb04f1fb37199815623f53f3e981ee650f344a3
create_factory-0.7b-1.21.1.jar	212765	a2dc0e9dd3c894e1373512035a6483701827a42e1f3da334da9457c124639f6e
creategoggles-1.21.1-6.1.1-[NEOFORGE].jar	180932	f08ff14c72ff15de9b3c87200ad06115ff48c73ac21458e038d6e137e162a907
